DMA,Sector,Household,Non-household
1,LS8 1,55,7
1,LS8 2,493,16
2,DN11 0,1863,26
3,YO18 7,49,40
5,YO25 9,239,48
6,DN2 4,58,38
7,LS10 3,997,20
8,HG4 3,278,16
11,WF13 3,1256,57
12,YO31 0,103,27
12,YO31 1,1839,24
12,YO31 7,97,16
12,YO32 9,22,12
13,HU1 3,175,68
14,S61 3,935,18
15,LS17 8,1201,12
16,HU3 1,528,54
17,BD19 4,2672,112
19,YO61 1,116,73
19,YO61 2,381,37
19,YO61 3,33,10
21,LS9 7,689,22
22,YO13 9,81,30
23,WF4 4,62,21
24,HD8 0,926,29
25,HD9 1,434,15
25,HD9 2,29,6
26,DN6 7,439,9
27,BD8 0,1095,48
27,BD8 9,43,71
29,BD18 2,442,10
29,BD18 3,279,8
30,LS6 1,414,7
31,BD21 1,1311,98
31,BD21 5,418,31
31,BD22 7,1068,15
32,HD9 1,667,13
33,WF14 0,533,12
33,WF14 9,320,7
37,DN5 0,619,31
39,BD2 1,392,9
39,BD2 2,155,10
39,BD2 4,681,23
40,HU9 3,846,13
40,HU9 5,305,13
41,LS6 4,362,17
42,YO62 4,160,15
43,YO62 6,379,76
47,LS28 6,71,40
48,S64 8,1496,32
49,OL14 6,255,16
49,OL14 7,423,23
50,YO25 5,750,13
50,YO25 6,2084,256
51,LS29 7,822,70
53,BD23 3,25,15
54,HU7 4,498,57
54,HU8 9,800,22
55,HU17 7,370,9
56,BD4 9,807,22
58,DN1 2,770,44
59,HD5 0,216,20
59,HD5 8,589,21
59,HD5 9,188,17
60,BD7 3,478,8
60,BD7 4,1140,83
61,YO62 7,49,57
62,WF1 5,493,36
62,WF2 7,824,10
63,LS25 5,1081,24
64,WF17 9,2015,111
65,BD17 5,846,6
65,BD17 6,1003,27
65,BD17 7,645,23
66,BD8 0,1096,8
67,YO7 2,148,31
68,WF4 2,1377,38
69,YO11 2,1346,209
70,YO62 6,1163,99
71,LS17 9,76,7
72,HX7 7,383,14
73,DN3 3,1000,36
73,DN9 3,724,20
74,BD12 0,201,10
75,HU3 6,563,11
75,HU4 6,433,20
76,WF8 2,2215,57
77,YO16 6,954,18
77,YO16 7,1749,15
78,LS14 1,1558,12
79,LS15 7,770,40
80,S75 3,1546,61
81,HU5 2,509,11
81,HU5 3,315,11
82,BD2 3,614,30
82,BD2 4,488,51
84,LS17 0,137,18
85,LS27 0,978,36
86,HD1 3,758,16
87,HG3 3,340,17
88,HG3 3,197,33
90,S61 1,198,10
90,S61 2,1102,23
92,HU4 6,311,20
92,HU4 7,835,9
93,DN4 5,229,16
94,BD21 4,301,84
95,HG3 2,296,13
96,YO10 3,517,11
97,HX2 6,41,10
97,HX7 5,766,60
98,S35 9,985,119
99,S13 7,1255,37
100,S7 1,624,20
100,S7 2,925,30
101,BD5 0,447,55
102,HD7 4,304,13
103,LS2 9,31,12
103,LS6 1,403,23
103,LS6 2,751,42
104,LS4 2,258,8
104,LS6 1,352,27
104,LS6 3,555,10
105,DN4 6,1179,22
106,YO11 1,289,130
106,YO12 5,222,37
106,YO12 7,829,79
109,YO16 4,29,12
110,HD9 5,1004,20
111,LS16 7,511,19
113,WF15 6,1983,139
114,HX4 9,1231,67
115,WF10 3,1047,21
116,LS8 3,1186,40
117,YO12 5,761,17
118,BD6 1,232,7
119,LS26 8,415,22
120,WF2 0,1094,28
121,DL10 5,415,43
122,HD8 9,748,58
123,DL7 9,242,24
124,YO8 8,677,24
125,DN11 9,510,21
126,WF10 4,428,27
126,WF10 5,1734,68
129,LS18 4,92,7
129,LS18 5,641,33
130,HU10 6,1452,24
131,HD8 9,744,84
132,DL11 6,44,21
133,HU12 9,772,30
134,LS11 6,330,10
135,YO32 9,563,82
136,HG1 4,1086,84
136,HG1 5,1810,202
137,WF2 9,843,36
138,S7 1,1118,94
139,BD13 3,241,34
140,WF8 3,80,8
141,HU6 9,1865,25
142,DN14 0,1340,68
143,S2 3,459,22
143,S8 9,591,10
144,HX2 8,605,17
145,DN14 6,587,21
146,DL7 8,1023,31
147,S8 7,1436,18
150,DL10 6,371,35
151,DL6 3,26,15
151,YO7 4,86,23
152,LS18 4,230,24
152,LS18 5,824,13
153,BD20 5,589,9
154,HX3 9,966,42
155,S73 0,106,6
155,S73 9,841,49
156,LS21 2,81,19
156,LS29 0,102,15
159,YO23 3,1741,34
160,S12 2,543,6
161,LS14 2,230,50
162,BD13 1,326,26
162,BD13 2,477,45
162,HX3 7,559,15
163,LS9 0,593,14
163,LS9 8,952,63
164,DN6 9,149,15
164,WF11 0,74,10
165,S63 8,1055,27
166,S10 2,607,30
166,S11 8,41,17
166,S3 7,688,33
167,BD10 0,29,7
167,BD10 9,1705,68
168,WF2 0,1426,31
169,YO51 9,295,32
170,YO11 2,186,16
170,YO11 3,904,22
171,S7 1,214,44
171,S7 2,91,41
171,S8 0,257,9
172,DN5 9,771,32
173,S17 4,297,33
173,S8 7,480,45
174,YO32 5,1174,69
175,HU15 2,1160,143
176,BB18 6,981,34
177,BD23 5,36,7
178,LS16 6,376,8
180,HD9 1,517,8
180,HD9 7,373,18
181,DN8 5,2004,37
182,OL14 6,246,10
182,OL14 7,134,12
184,S71 1,236,45
185,HU3 2,1339,42
185,HU3 3,550,53
186,HX7 7,321,17
187,LS6 2,233,11
188,S64 5,1028,40
189,WF13 3,732,121
190,LS19 6,719,19
191,YO26 9,74,19
191,YO51 9,49,11
192,DL6 3,269,25
193,HD6 1,280,20
193,HD6 2,1983,46
193,HD6 4,565,49
194,WF14 0,1508,43
195,S5 8,910,22
196,LS26 8,1923,30
197,DL6 2,115,50
198,DN17 4,351,31
199,LS26 8,744,39
200,HG2 8,694,94
200,HG3 1,107,15
201,DN2 4,335,104
201,DN2 5,1267,59
202,BD23 3,380,18
203,LS29 0,767,57
204,LS2 9,536,24
204,LS3 1,158,6
205,BD9 5,595,48
205,BD9 6,342,20
206,WF12 8,1663,21
207,HU3 1,321,19
207,HU5 3,556,37
207,HU5 5,484,10
208,YO16 4,2109,121
208,YO16 7,587,46
209,LS12 4,235,13
209,LS12 5,566,10
210,LS12 1,1059,56
212,BD8 8,290,11
212,BD8 9,870,58
213,WF2 7,35,131
213,WF4 3,132,20
214,S71 5,550,15
215,BD4 0,334,16
215,BD4 9,648,22
